ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Number_Object_Number
1,2,1689.7358674463935,77.34941520467837,2
1,4,1694.177648766328,148.5431059506531,4
1,6,2308.734281437126,199.71032934131736,6
1,9,667.1269584008644,221.2544570502431,9
1,17,1490.574058219178,291.9755993150685,17
1,18,1447.195642887655,296.31268688594616,18
1,23,182.57655225607405,327.2313922097956,23
1,28,2760.297297297297,428.5586575586576,28
1,29,93.37458745874588,433.4166666666667,29
1,30,1028.761087267525,454.9108249880782,30
1,33,214.45661764705883,502.9392156862745,33
1,36,1893.7965714285715,573.4171428571428,36
1,38,1613.360935856993,584.3270241850684,38
1,39,1853.5843621399176,599.7074074074075,39
1,42,2355.708605938601,668.9979869149472,42
1,43,366.2086312563841,695.1345760980593,43
1,45,1853.8302909298343,715.2529948659441,45
1,46,2584.0391012547416,724.3843011380216,46
1,47,1105.3180260452364,740.3653187114462,47
1,48,1070.0103092783504,762.0845360824742,48
1,49,2659.3118029739776,786.4730483271376,49
1,51,1429.608305274972,798.6161616161617,51
1,52,835.158605664488,809.4531590413943,52
1,53,1056.955310504933,823.4431224608242,53
1,55,2689.3283582089557,859.1915422885572,55
1,57,2649.4468183929403,882.8067812354853,57
1,59,2789.1796932067205,894.6603360116874,59
1,61,1139.63408723748,932.057350565428,61
1,63,1099.2405913978494,942.1478494623656,63
1,66,1697.993006993007,1015.4149184149184,66
1,67,2141.6167369901545,1011.971870604782,67
1,69,2184.6048906048904,1034.8462033462033,69
1,72,969.86737466041,1061.0852062237589,72
1,73,1175.7807933194154,1065.5379262352124,73
1,74,1150.3625776397516,1072.6847826086955,74
1,75,2228.477059148701,1073.2714206744058,75
1,76,2716.910714285714,1085.6246279761904,76
1,78,1150.2873082287308,1107.106462110646,78
1,79,2323.4441767068274,1119.3967871485945,79
1,81,655.9244644870349,1132.306087936866,81
1,82,1347.939417475728,1134.5949514563106,82
1,83,2476.67039800995,1139.5037313432836,83
1,84,2309.960140679953,1156.4955060570535,84
1,86,2436.73985572588,1171.0725879170425,86
1,87,2490.619239373602,1180.2657718120806,87
1,89,2390.4275563793635,1198.183503243744,89
1,90,2775.3628153223294,1222.8097165991903,90
1,92,2445.690417136415,1227.2583990980834,92
1,94,2403.103045685279,1261.263959390863,94
1,101,1027.180485570316,1327.8066880439762,101
1,106,469.674253200569,1368.1702228544334,106
1,108,450.8771704180064,1398.163344051447,108
1,126,2690.129805013928,1752.188300835655,126
1,135,2938.503737406565,2043.7474813129672,135
1,136,1510.433880147305,2052.1529963173757,136
1,140,586.8168373151308,2084.353526734926,140
1,141,2809.487473460722,2093.5575371549894,141
1,142,372.6315641673687,2111.68098848638,142
1,147,327.9619565217391,2144.995982986768,147
1,148,1963.3525179856117,2157.659472422062,148
1,149,2001.408870667164,2183.0178904211703,149
1,150,2165.7429864253395,2171.628959276018,150
1,154,1956.0639008106816,2196.833571769194,154
1,156,369.70657157412126,2224.909831889964,156
1,157,2473.349925335988,2221.3106022896964,157
1,158,403.4469977761304,2226.5033358043,158
1,160,512.2097203728363,2244.7070572569905,160
1,161,2440.8946666666666,2246.796,161
1,166,2729.412130637636,2318.1200103680662,166
1,167,348.5640483383686,2324.6027190332325,167
1,168,1389.5368802902055,2324.025634824668,168
1,169,2447.998562185478,2329.327462257369,169
1,172,373.7640608418818,2366.024407499116,172
1,173,1574.63133640553,2365.826582585496,173
1,174,93.75018067935436,2382.9906046735728,174
1,176,2531.3789395624767,2396.5632183908046,176
1,177,2494.383333333333,2412.1720720720723,177
1,178,2226.0867068619004,2422.517370083261,178
1,180,2580.017385705087,2437.1036703155182,180
1,183,2656.2771362586604,2456.5393659458323,183
1,185,350.3019986821876,2507.4717768504283,185
1,187,1902.919061302682,2503.8788314176245,187
1,190,15.462844036697248,2524.219724770642,190
1,192,1889.976911976912,2534.3924963924965,192
1,193,1979.4317518248172,2537.1160583941605,193
1,194,2555.62538806485,2542.3259744739566,194
1,197,783.0548007246376,2578.9352355072465,197
1,210,2760.111721611722,2728.25641025641,210
1,218,591.0800976800977,2845.586324786325,218
1,219,2115.644719399028,2844.4432169686256,219
1,220,49.6160409556314,2860.6666666666665,220
1,221,21.0787841191067,2885.8697270471466,221
1,222,2783.01977066034,2896.9458283906683,222
1,223,953.9969325153374,2920.6779141104294,223
1,224,110.65902140672785,2953.1813455657493,224
1,226,1889.53536345776,2981.655206286837,226
1,227,939.217121253038,2976.579260059412,227
1,228,180.0380321004885,2991.8855547801813,228
